Frequency,Aria,Composer,Language,Opera,Voice Type,Artist Category
1,In quelle trine morbide,Puccini,Italian,Manon Lescaut,Soprano,Studio
1,Iolanta's Aria,Tchaikovsky,Russian,Iolanta,Soprano,Studio
1,Jackie's Monologue,Daugherty,English,Jackie O,Soprano,Studio
1,Je viens ,Viardot,Italian,Cendrillon ,Soprano,Studio
1,"Joy beyond measure, Mother",Adamo,English,Little Women,Soprano,Studio
1,Kiss me not goodbye,Schuman,English,The Mighty Casey,Soprano,Studio
1,L'amour est une vertu rare,Massenet,French,Thaïs,Soprano,Studio
1,Lady With a Hand Mirror,Argento,English,Postcard from Morocco,Soprano,Studio
1,"Leise, leise, fromme Weise ",Weber,German,Der Freischütz ,Soprano,Studio
1,Marfa's Aria,Rimsky-Korsakov,russian,The Tsar's Bride,Soprano,Studio
1,Meine lippen sie kussen so heiss,Lehàr,German,Giuditta,Soprano,Studio
1,Mercè dilette amiche,Verdi,Italian,I vespri Siciliani,Soprano,Studio
1,Monica's Waltz,Menotti,English ,The Medium,Soprano,Studio
1,"Music, music, music",Blitzstein,English,Regina,Soprano,Studio
1,Non più di fiori,Mozart,Italian,La clemenza di Tito,Soprano,Studio
1,Non si da follia maggiore,Rossini,Italian,Il Turco in Italia,Soprano,Studio
1,"Non, Monsieur mon mari",Poulenc,French,Les mamelles de Tirésias,Soprano,Studio
1,"Now, Doctor Gregg",Moore,English,Gallantry,Soprano,Studio
1,O mio babbino caro,Puccini,Italian,Gianni Schicchi,Soprano,Studio
1,Oft she visits this lone mountain,Purcell,English,Dido and Aeneas,Soprano,Studio
1,Ombre légère ,Meyerbeer,French,Dinorah,Soprano,Studio
1,Or sai chi l'onore,Mozart,Italian,Don Giovanni,Soprano,Studio
1,"Per pietà, ben mio",Mozart,Italian,Così fan tutte,Soprano,Studio
1,Sarah's Aria,Popov,English,Town Hall,Soprano,Studio
1,Sein wir wieder gut,Strauss,German,Ariadne auf Naxos,Soprano,Studio
1,Senza mamma,Puccini,Italian,Suor Angelica,Soprano,Studio
1,Son pochi fiori,Mascagni,Italian,L'amico Fritz,Soprano,Studio
1,Summertime,Gershwin,English,Porgy and Bess,Soprano,Studio
1,Tacea la notte placida... Di tale amor,Verdi,Italian ,Il trovatore,Soprano,Studio
1,This is prophetic ,Adams,English ,Nixon in China,Soprano,Studio
1,Tiger! Wetze nur die Klauen,Mozart,German,Zaide,Soprano,Studio
1,Tiny's Song,Britten,English,Paul Bunyan,Soprano,Studio
1,Trees on the mountains,Floyd,English,Susannah,Soprano,Studio
1,Tutte nel cor vi sento,Mozart,Italian,Idomeneo,Soprano,Studio
1,Un bel dí vedremo,Puccini,Italian,Madama Butterfly,Soprano,Studio
1,Una donna a quindici anni,Mozart,Italian,Così fan Tutte,Soprano,Studio
1,Una voce poco fa,Rossini,Italian,Il barbiere di Siviglia,Soprano,Studio
1,Vorrei punirti indegno,Mozart,Italian,La finta giardiniera,Soprano,Studio
23,Smanie implacabili,Mozart,Italian,Così fan tutte,Mezzo,Filene
22,Sein wir wieder gut,Strauss,German ,Ariadne auf Naxos,Mezzo,Filene
19,Va! Laisse couler mes larmes,Massenet,French,Werther,Mezzo,Filene
16,Una voce poco fa,Rossini,Italian ,Il barbiere di Siviglia ,Mezzo,Filene
15,Wie du warst,Strauss,German,Der Rosenkavalier,Mezzo,Filene
11,Cruda sorte,Rossini,Italian,L'Italiana in Algeri,Mezzo,Filene
11,Must the winter come so soon,Barber,English,Vanessa,Mezzo,Filene
10,Vois sous l'archet frémissant,Offenbach,French,Les contes d'Hoffmann,Mezzo,Filene
9,"Parto, parto",Mozart,Italian,La clemenza di Tito,Mezzo,Filene
8,"Ces lettres, ces lettres",Massenet,French,Werther,Mezzo,Filene
8,Give him this orchid,Britten,English,The rape of Lucretia,Mezzo,Filene
8,Ja nye sposobna k grusti tomnoy ,Tchaikovsky,Russian,Eugene Onegin,Mezzo,Filene
8,Non più mesta,Rossini,Italian,La cenerentola,Mezzo,Filene
8,"Que fais tu, blanche tourterelle?",Gounod,French,Roméo et Juliette,Mezzo,Filene
8,Svegliatevi nel core,Handel ,Italian ,Guilio Cesare,Mezzo,Filene
7,All'afflitto è dolce il pianto,Donizetti,Italian,Roberto Devereux,Mezzo,Filene
7,Am I in your light?,Adams,English,Doctor Atomic,Mezzo,Filene
7,Podrugi milie ,Tchaikovsky,Russian,Queen of Spades,Mezzo,Filene
7,Se Romeo t'uccise un figlio,Bellini,Italian,I Capuleti e i Montecchi,Mezzo,Filene
7,"Things change, Jo",Adamo,English,Little Women,Mezzo,Filene
7,This journey,Heggie,English,Dead Man Walking,Mezzo,Filene
7,Voi che sapete,Mozart,Italian,Le nozze di Figaro,Mezzo,Filene
6,Hexenlied,Humperdinck,German,Hansel und Gretel,Mezzo,Filene
6,Mon coeur s'ouvre à ta voix,Saint-Saëns,French,Samson et Dalila,Mezzo,Filene
6,O mio Fernando,Donizetti,Italian,La favorita,Mezzo,Filene
6,Seguidilla,Bizet,French,Carmen,Mezzo,Filene
6,What a movie!,Bernstein,English,Trouble in Tahiti,Mezzo,Filene
5,Coeur sans amour,Massenet,French,Cendrillon,Mezzo,Filene
5,Faites-lui mes aveux,Gounod,French,Faust,Mezzo,Filene
5,Sgombra è la sacra selva,Bellini,Italian,Norma,Mezzo,Filene
4,Amour! viens aider ma faiblesse!,Saint-Saëns,French,Samson et Dalila,Mezzo,Filene
4,"Da, chas nastal",Tchaikovsky,Russian,The Maid of Orleans,Mezzo,Filene
4,Nimmermehr wird mein Herze,Flotow,German,Martha ,Mezzo,Filene
4,"Nobles seigneurs, salut!",Meyerbeer,French,Les Huguenots,Mezzo,Filene
4,"Weiche, Wotan, Weiche!",Wagner,German,Das Rheingold,Mezzo,Filene
3,Augusta! How can you turn away?,Moore,English,The Ballad of Baby Doe,Mezzo,Filene
3,En vain pour éviter,Bizet,French,Carmen,Mezzo,Filene
3,"Hence, Iris, Hence Away",Handel,English,Semele,Mezzo,Filene
3,Non so più cosa son,Mozart,Italian,Le nozze di Figaro,Mezzo,Filene
3,"Tu, preparati a morire",Handel,Italian,Ariodante ,Mezzo,Filene
3,You shiver,Little,English,JFK,Mezzo,Filene
2,Acerba voluttà,Cilea,Italian,Adriana Lecouvreur,Mezzo,Filene
2,"Afraid, am I Afraid?",Menotti,English,The Medium,Mezzo,Filene
2,"Ah, Michele don't you know",Menotti,English,The Saint of Bleecker Street ,Mezzo,Filene
2,C'est l'amour vainquer,Offenbach,French,Contes d'Hoffmann,Mezzo,Filene
2,Chacun a son goût,"Strauss, J",German,Die Fledermaus,Mezzo,Filene
2,Che faro senza Euridice?,Gluck,Italian,Orfeo ed Euridice,Mezzo,Filene
2,Daybreak,Heggie,English,Three Decembers,Mezzo,Filene
2,Dopo notte,Handel,Italian,Ariodante,Mezzo,Filene
2,Habanera,Bizet,French,Carmen,Mezzo,Filene
2,I'm an actress,Pasatieri,English,The Seagull,Mezzo,Filene
2,Je suis gris,Massenet,French,Chérubin,Mezzo,Filene
2,O ma lyre immortelle,Gounod,French,Sapho,Mezzo,Filene
2,"Oh, those faces!",Menotti,English,The Consul,Mezzo,Filene
2,Simple Child,Gordon,English,The Grapes of Wrath,Mezzo,Filene
2,Sta nell'ircana,Handel,Italian,Alcina,Mezzo,Filene
2,There is a garden,Bernstein,English,Trouble in Tahiti,Mezzo,Filene
2,Waiting,Harbison,English,The Great Gatsby,Mezzo,Filene
1,Adieu forêts,Tchaikovsky,French,The Maid of Orleans,Mezzo,Filene
1,Ah chi mi dice mai,Mozart,Italian ,Don Giovanni,Mezzo,Filene
1,Ah! mon courage m'abandonne!,Massenet,French,Werther,Mezzo,Filene
1,Ah! mon fils,Meyerbeer,French,Le Prophète,Mezzo,Filene
1,Ah! que j'aime les militaires,Offenbach,French,La Grande Duchesse de Gerolstein,Mezzo,Filene
1,All that gold!,Menotti,English,Amahl and the Night Visitors,Mezzo,Filene
1,"Amour, viens rends a mon âme",Gluck,French,Orphée et Eurydice,Mezzo,Filene
1,"Arabien, mein Heimatland",Weber,German,Oberon,Mezzo,Filene
1,Baba's Aria,Stravinsky,English,The Rake's Progress,Mezzo,Filene
1,"Cesse, cruel amour",Rameau,French,Dardanus,Mezzo,Filene
1,Chanson du Voile,Verd,French,Don Carlos,Mezzo,Filene
1,Condotta ella era in ceppi,Verdi,Italian,Il trovatore,Mezzo,Filene
1,Crude furie degl'orridi abissi,Handel,Italian,Serse,Mezzo,Filene
1,D'amour l'ardente flamme,Berlioz,French,Le damnation de Faust,Mezzo,Filene
1,Deh per questo istante solo,Mozart,Italian,La Clemenza di Tito,Mezzo,Filene
1,Deh tu bell'anima,Bellini,Italian,I Capuleti e i Montecchi,Mezzo,Filene
1,Di misera regina,Monteverdi,Italian,Il ritorno d’Ulisse in patria,Mezzo,Filene
1,"Don't bother, dear",Bolcom,English,Dinner at Eight,Mezzo,Filene
1,Don't say a word,Heggie,English,Dead Man Walking,Mezzo,Filene
1,E destin! debbo andarmene,Leoncavallo,Italian,La bohème,Mezzo,Filene
1,"Enfin, je suis ici",Massenet ,French ,Cendrillion ,Mezzo,Filene
1,Entweihte Götter,Wagner,German,Lohengrin,Mezzo,Filene
1,Florence Pike's Aria,Britten,English ,Albert Herring,Mezzo,Filene
1,"Geliebter, komm!",Wagner,German,Tannhaüser ,Mezzo,Filene
1,Höchste Lust ist treues Lieben,Weber,German,Die drei Pintos,Mezzo,Filene
1,Höre mit Sinn,Wagner,German,Die Götterdämmerung,Mezzo,Filene
1,I am a mother,Heggie,English,Dead Man Walking,Mezzo,Filene
1,"I do not judge you, John",Ward,English,The Crucible,Mezzo,Filene
1,I have dreamt,Hermann,English,Wuthering Heights ,Mezzo,Filene
1,I send these lacy nothings,Moore,English,The Ballad of Baby Doe,Mezzo,Filene
1,I was standing in a garden,Bernstein,English,Trouble in Tahiti,Mezzo,Filene
1,Il padre adorato,Mozart,Italian,Idomeneo,Mezzo,Filene
1,J'ai perdu mon Eurydice,Gluck,French,Orphée et Eurydice,Mezzo,Filene
1,Je vais mourir ,Berlioz,French,Les Troyens,Mezzo,Filene
1,Lisette's aria,Cohen,English,Steal a pencil for me,Mezzo,Filene
1,Lullaby,Menotti,English,The Consul,Mezzo,Filene
1,Me voici dans son boudoir,Thomas,French,Mignon,Mezzo,Filene
1,Mi tradì ,Mozart,Italian,Don Giovanni,Mezzo,Filene
1,Nel silencio,Puccini,Italian,Suor Angelica,Mezzo,Filene
1,Nella fatal di Rimini,Donizetti,Italian,Lucrezia Borgia,Mezzo,Filene
1,Non ho colpa,Mozart,Italian,Idomeneo,Mezzo,Filene
1,O don fatale,Verdi,Italian,Don Carlo,Mezzo,Filene
1,O petite étoile,Chabrier,French,L'étoile,Mezzo,Filene
1,Per questa fiamma indomita,Gaetano Donizetti,English,Anna Bolena,Mezzo,Filene
1,Priva son d'ogni conforto,Handel,Italian,Giulio Cesare,Mezzo,Filene
1,Relevez-vous ma fille,Poulenc,French,Dialogues des Carmélites,Mezzo,Filene
1,"Seigneur, Dieu",Massenet,French,Werther,Mezzo,Filene
1,"Seul, je partirai mon pere",Massenet,French,Cendrillon,Mezzo,Filene
1,So ist es denn aus,Wagner,German,Die Walküre,Mezzo,Filene
1,So you this something special,Hilliard,English ,Blue Viola ,Mezzo,Filene
1,Song and ditties of Varvara ,Shchedrin,Russian,Not Love Alone,Mezzo,Filene
1,Sorge nell'alma mia,Handel,Italian,Imeneo,Mezzo,Filene
1,Stride la vampa,Giuseppe Verdi,Italian,Il trovatore,Mezzo,Filene
1,Suitcase Aria,Dove,English,Flight,Mezzo,Filene
1,Tango de la Menegilda,Federico Chueca,Spanish,La Gran Via,Mezzo,Filene
1,There in myrtle shades reclined,Handel,English,Hercules,Mezzo,Filene
1,They are all gone now,Vaughan Williams,English,Riders to the Sea,Mezzo,Filene
1,"Voi lo sapete, o mamma",Mascagni,Italian,Rustica Cavellaria,Mezzo,Filene
1,We had one room in Lambeth Marsh,Puts,English,Elizabeth Cree,Mezzo,Filene
1,When I am laid in earth,Purcell,English,Dido and Aeneas,Mezzo,Filene
1,Wo in bergen du dich birgst,Wagner,German,Die Walküre,Mezzo,Filene
17,"Que fait-tu, blanche tourterelle?",Gounod,French,Roméo et Juliette,Mezzo,Studio
15,Must the winter come so soon,Barber,English,Vanessa,Mezzo,Studio
14,Va! laisse couler mes larmes,Massenet,French,Werther,Mezzo,Studio
12,Smanie implacabili ,Mozart ,Italian,Così fan tutte,Mezzo,Studio
11,Sein wir wieder gut,Strauss,German,Ariadne auf Naxos,Mezzo,Studio
10,Non so più cosa son,Mozart,Italian ,Le nozze di Figaro,Mezzo,Studio
9,Svegliatevi nel core,Handel,Italian,Giulio Cesare,Mezzo,Studio
8,Una voce poco fa,Rossini,Italian,Il barbiere di Siviglia,Mezzo,Studio
7,Faites-lui mes aveux,Gounod,French,Faust,Mezzo,Studio
7,"Parto, ma tu ben mio",Mozart,Italian,La clemenza di Tito,Mezzo,Studio
6,Coeur sans amour ,Massenet,French,Cendrillon,Mezzo,Studio
6,Cruda sorte,Rossini,Italian,L'italiana in Algeri,Mezzo,Studio
6,I have dreamt,Hermann,English,Wuthering Heights,Mezzo,Studio
6,Non più mesta,Rossini,Italian,La cenerentola,Mezzo,Studio
6,This journey,Heggie,English,Dead Man Walking,Mezzo,Studio
6,Voi che sapete ,Mozart ,Italian ,Le nozze di Figaro ,Mezzo,Studio
5,Chacun à son goût,Strauss,German,Die Fledermaus,Mezzo,Studio
5,Près des remparts de Séville,Bizet,French,Carmen,Mezzo,Studio
5,What a movie!,Bernstein,English,Trouble in Tahiti,Mezzo,Studio
4,Wie du warst ,Strauss,German,Der Rosenkavalier,Mezzo,Studio
3,"Ah, Michele Don't You Know",Menotti,English,Saint of Bleecker Street,Mezzo,Studio
3,Che farò senza Euridice?,Gluck,Italian,Orfeo ed Euridice,Mezzo,Studio
3,Crude furie degli orridi abissi ,Handel ,Italian ,Serse,Mezzo,Studio
3,Daybreak,Jake Heggie,English,Three Decembers,Mezzo,Studio
3,Habanera,Bizet,French,Carmen,Mezzo,Studio
3,Il padre adorato,Mozart,Italian,Idomeneo,Mezzo,Studio
3,Nimmermehr wird mein Herze,Flotow,German,Martha,Mezzo,Studio
3,"Nobles seigneurs, salut!",Meyerbeer,French,Les Huguenots,Mezzo,Studio
3,Podrugi milyye,Tchaikovsky,Russian,The Queen of Spades (Pikovaya Dama),Mezzo,Studio
3,Se Romeo t'uccise un figlio,Bellini,Italian,I Capuletti ed i Montecchi,Mezzo,Studio
3,Seguidilla,Bizet,French,Carmen,Mezzo,Studio
3,Sgombra è la sacra selva,Bellini,Italian,Norma,Mezzo,Studio
3,Sta nell'Ircana,Handel,Italian,Alcina,Mezzo,Studio
3,When I am laid in earth,Purcell,English,Dido and Aeneas,Mezzo,Studio
2,"Hence, Iris, Hence Away",Handel,English,Semele,Mezzo,Studio
2,Il segreto per esser felici,Donizetti,Italian,Lucrezia Borgia,Mezzo,Studio
2,Lullaby,Menotti,English,The Consul,Mezzo,Studio
2,Me voici dans son boudoir,Thomas,French,Mignon,Mezzo,Studio
2,Spiel auf deiner Geige,Stolz,German,Venus in Seide,Mezzo,Studio
2,"Things change, Jo",Adamo,English,Little Women,Mezzo,Studio
2,Vois sous l'archet fremissant,Offenbach,French,Les contes d'Hoffmann,Mezzo,Studio
2,Ya ne sposobna k grusti,Tchaikovsky,Russian,Eugene Onegin,Mezzo,Studio
2,You shiver,Little,English,JFK,Mezzo,Studio
1,"Afraid, am I afraid?",Menotti,English,The Medium,Mezzo,Studio
1,After you hear me out,Cipullo,English,Glory Denied ,Mezzo,Studio
1,"Ah fuggi, il traditor",Mozart,Italian,Don Giovanni,Mezzo,Studio
1,Ah! mon fils,Meyerbeer,French,Le prophète,Mezzo,Studio
1,All that gold!,Menotti,English,Amahl and the Night Visitors,Mezzo,Studio
1,All'afflitto è dolce il pianto,Donizetti,Italian,Roberto Devereux,Mezzo,Studio
1,Am I in your light?,Adams,English,Doctor Atomic,Mezzo,Studio
1,"Amour, viens rendre à mon âme",Gluck,French,Orphée et Euridice,Mezzo,Studio
1,Augusta...How can you turn away?,Moore,English,The Ballad of Baby Doe,Mezzo,Studio
1,"Batti, batti, o bel Masetto ",Mozart,Italian,Don Giovanni,Mezzo,Studio
1,Bride's Aria,Adamo,English,Avow,Mezzo,Studio
1,Carceleras ,Chapí ,Spanish ,Las Hijas del Zebedeo ,Mezzo,Studio
1,Ces lettres! ,Massenet,French,Werther ,Mezzo,Studio
1,Connais-tu le pays?,Thomas,French,Mignon,Mezzo,Studio
1,Čury Mury Fuk,Dvořák,Czech,Rusalka,Mezzo,Studio
1,Deh per questo istante,Mozart ,Italian ,La clemenza di Tito,Mezzo,Studio
1,Deh se piacer mi vuoi,Mozart,Italian,La clemenza di Tito,Mezzo,Studio
1,Di tanti palpiti,Rossini,Italian,Tancredi,Mezzo,Studio
1,"Don't bother, dear",Bolcom,English,Dinner at Eight,Mezzo,Studio
1,Einsam in trüben Tagen,Wagner,German,Lohengrin,Mezzo,Studio
1,"Enfin, je suis ici",Massenet,French,Cendrillon,Mezzo,Studio
1,I am easily assimilated ,Bernstein,English ,Candide,Mezzo,Studio
1,"I do not judge you, John",Ward,English,The Crucible,Mezzo,Studio
1,"Il est doux, Il est bon",Massenet,French,Herodiade,Mezzo,Studio
1,Kiss me not goodbye,Schuman,English,The Mighty Casey,Mezzo,Studio
1,L’aura che spira,Handel,Italian,Giulio Cesare,Mezzo,Studio
1,Mi lusinga il dolce affetto,Handel,Italian,Alcina,Mezzo,Studio
1,Mi tradì quell'alma ingrata,Mozart,Italian,Don Giovanni,Mezzo,Studio
1,Minskwoman's Aria,Dove,English,Flight,Mezzo,Studio
1,Mon coeur s'ouvre a ta voix,Saint-Säens,French,Samson et Dalila,Mezzo,Studio
1,My man's gone now,Gershwin,English,Porgy and Bess,Mezzo,Studio
1,"Non, vou n'avez jamais je gage",Meyerbeer,French,Les Huguenots ,Mezzo,Studio
1,"O pallida, che un giorno mi guardasti",Mascagni,Italian,L'amico Fritz,Mezzo,Studio
1,"Oh, those faces!",Menotti,English,The Consul,Mezzo,Studio
1,Priva son d'ogni conforto,Handel,Italian,Giulio Cesare,Mezzo,Studio
1,Scherza in mar la navicella,Handel,Italian,Lotario,Mezzo,Studio
1,Simple Child,Gordon,English,The Grapes of Wrath,Mezzo,Studio
1,There is a garden,Bernstein,English,Trouble in Tahiti,Mezzo,Studio
1,Time treads upon the hands of woman,Britten,English,The Rape of Lucretia,Mezzo,Studio
1,Torna di Tito a lato,Mozart,Italian,La clemenza di Tito,Mezzo,Studio
1,Tu fosti tradito,Mozart,Italian,La clemenza di Tito,Mezzo,Studio
1,"Tu, preparati a morire",Handel,Italian,Ariodante,Mezzo,Studio
1,"Va pure, ad altri in braccio",Mozart,Italian,La finta giardiniera,Mezzo,Studio
1,Vedrai carino,Mozart,Italian,Don Giovanni,Mezzo,Studio
1,Voce di donna,Ponchielli,Italian,La gioconda,Mezzo,Studio
1,Vom jäger herne ,Nicolai,German ,Die Lustigen Weiber von Windsor,Mezzo,Studio
1,Waiting,Harbison,English,The Great Gatsby,Mezzo,Studio
1,Ya ne sposobna k grusti,Tchaikovsky,Russian,Eugene Onegin,Mezzo,Studio
1,You'll never be her ,Heggie,English,Great Scott,Mezzo,Studio
4,Dawn still darkness,Dove,English,Flight,Counter-tenor,Filene
3,Ombra mai fù,Handel,Italian,Serse,Counter-tenor,Filene
2,I know a Bank,Britten,English,A Midsummer Night's Dream,Counter-tenor,Filene
2,J'ai perdu mon Eurydice ,Gluck,French,Orphée et Eurydice,Counter-tenor,Filene
1,"Ah, quel giorno",Rossini,Italian,Semiramide,Counter-tenor,Filene
1,Birds on the misty mountainside sing,Garner,English,"East O the Sun, West O the Moon",Counter-tenor,Filene
1,Di tanti palpiti,Rossini,Italian,Tancredi,Counter-tenor,Filene
1,Dopo notte,Handel,Italian,Ariodante,Counter-tenor,Filene
1,Dove sei,Handel,Italian,Rodelinda,Counter-tenor,Filene
1,"Cielo, se tu il consenti",Handel,Italian,Orlando,Counter-tenor,Filene
1,"I can’t walk, brother…",Weisman,English,The Scarlet Ibis,Counter-tenor,Filene
1,Me voici dans son boudoir,Thomas,French,Mignon,Counter-tenor,Filene
1,"Parto, ma tu ben mio",Mozart,Italian,La clemenza di Tito,Counter-tenor,Filene
1,"Son reo, l'error confesso",Mozart,Italian,"Mitridate, rè di Ponto",Counter-tenor,Filene
1,Sta nell'ircana,Handel,Italian,Alcina,Counter-tenor,Filene
1,Svegliatevi nel core,Handel,Italian,Giulio Cesare,Counter-tenor,Filene
1,"Venti, turbini",Handel,Italian,Rinaldo,Counter-tenor,Filene
4,"Dawn, still darkness",Dove,English,Flight,Counter-tenor,Studio
3,I know a bank,Britten,English,A Midsummer Night's Dream ,Counter-tenor,Studio
1,Al mio ben mi veggio avanti ,Mozart ,Italian ,Ascanio in Alba,Counter-tenor,Studio
1,Domerò la tua fierezza,Handel,Italian,Giulio Cesare in Egitto,Counter-tenor,Studio
1,"Dove sei, amato bene?",Handel,Italian,Rodelinda,Counter-tenor,Studio
1,Furibondo spira il vento,Handel,Italian,Partenope,Counter-tenor,Studio
1,L'aura che spira,Handel,Italian,Giulio Cesare,Counter-tenor,Studio
1,Orgogliosetto va l'augelletto ,Handel,Italian,Oreste,Counter-tenor,Studio
1,Stille amare,Handel,Italian,Tolomeo,Counter-tenor,Studio
1,The Raptured Soul,Handel,English,Theodora,Counter-tenor,Studio
1,Vedrò con mio diletto,Vivaldi,Italian,Giustino,Counter-tenor,Studio
1,Vivi tiranno ,Handel,Italian,Rodelinda,Counter-tenor,Studio
28,Dies Bildnis ist bezaubernd schön,Mozart,German,Die Zauberflöte,Tenor,Filene
19,"Kuda, kuda",Tchaikovsky,Russian ,Engene Onegin,Tenor,Filene
12,Ah! mes amis,Donizetti,French,La fille du régiment,Tenor,Filene
12,De' miei bollenti spiriti,Verdi,Italian,La traviata,Tenor,Filene
11,Ah! leve-toi soleil,Gounod,French,Roméo et Juliette,Tenor,Filene
11,La fleur que tu m'avais jetée,Bizet,French,Carmen,Tenor,Filene
10,Una furtiva lagrima,Donizetti,Italian,L'elisir d'amore,Tenor,Filene
10,Ch'ella mi creda,Puccini,Italian,La fanciulla del West,Tenor,Filene
10,Dein ist mein ganzes Herz,Lehár,German,Das Land des Lächelns,Tenor,Filene
10,Il mio tesoro,Mozart,Italian,Don Giovanni,Tenor,Filene
10,Pourquoi me reveiller,Massenet,French,Werther,Tenor,Filene
10,Salut! demeure chaste et pure,Gounod,French,Faust,Tenor,Filene
9,Lonely House,Weill,English,Street Scene,Tenor,Filene
9,Un aura amorosa,Mozart,Italian ,Cosi fan tutte ,Tenor,Filene
9,Questa o quella,Verdi,Italian,Rigoletto,Tenor,Filene
8,Fra poco a me ricovero,Donizetti,Italian,Lucia di Lammermoor,Tenor,Filene
8,"Si, ritrovarla io giuro",Rossini,Italian,La cenerentola,Tenor,Filene
7,Here I Stand,Stravinsky,English,The Rake's Progress,Tenor,Filene
6,O wie ängstlich,Mozart,German,Die Entführung aus dem Serail,Tenor,Filene
6,Un'aura amorosa,Mozart ,Italian ,Cosi fan tutte,Tenor,Filene
5,Di rigori armato il seno,Strauss ,Italian,Der Rosenkavalier,Tenor,Filene
4,Se all’impero,Mozart,Italian,La clemenza di Tito,Tenor,Filene
4,"Ah, la paterna mano",Verdi,Italian ,Macbeth,Tenor,Filene
4,Aria of the Worm,Corigliano,English,The Ghost of Versailles,Tenor,Filene
4,Ich baue ganz,Mozart,German,Die Entfürung aus dem Serail,Tenor,Filene
4,Miles!,Britten,English,The Turn of the Screw,Tenor,Filene
3,"Gott, welche Dunkel hier",Beethoven,German,Fidelio,Tenor,Filene
3,Addio fiorito asil,Puccini,Italian,Madama Butterfly,Tenor,Filene
3,Languir per una bella,Rossini,Italian,L'Italiana in Algeri,Tenor,Filene
3,Pour me rapprocher de Marie,Donizetti,French,La fille du régiment,Tenor,Filene
3,Tarquinius does not wait,Britten,English,The Rape of Lucretia,Tenor,Filene
3,Firenze come è un albero fiorito,Puccini,Italian,Gianni Schicchi,Tenor,Filene
3,"I see, you see",Heggie,English,Moby-Dick,Tenor,Filene
3,It was something I could stroke,Floyd,English,Of Mice and Men,Tenor,Filene
2,Cercherò lontana terra,Donizetti,Italian,Don Pasquale,Tenor,Filene
2,Durch die Wälder,Weber,German,Der Freischütz,Tenor,Filene
2,It's about the way people is made,Floyd,English,Susannah,Tenor,Filene
2,Tanzmeister's aria,Strauss,German,Ariadne auf Naxos,Tenor,Filene
2,"A te, o cara",Bellini,Italian,I Puritani,Tenor,Filene
2,Amor ti vieta,Giordano,Italian,Fedora,Tenor,Filene
2,Dalla sua pace,Mozart,Italian,Don Giovanni,Tenor,Filene
2,Ecco ridente,Rossini,Italian,Il barbiere di Siviglia,Tenor,Filene
2,Ed ancor la tremenda porta,Donizetti,Italian,Roberto Devereux,Tenor,Filene
2,Fuor del mar,Mozart,Italian,Idomeneo,Tenor,Filene
2,Io l'ho perduta... Io la vidi,Verdi,Italian,Don Carlo,Tenor,Filene
2,La donna è mobile,Verdi,Italian,Rigoletto,Tenor,Filene
2,Martin's Aria,Copland,English,The Tenderland,Tenor,Filene
2,New York Lights,Bolcom,English,A View from the Bridg,Tenor,Filene
2,Nothing more than this,Bernstein,English,Candide,Tenor,Filene
2,O blonde Cerès,Berlioz,French,Les Troyens,Tenor,Filene
2,Outside this house,Barber,English,Vanessa,Tenor,Filene
2,Parmi vedere le lagrime,Verdi,Italian,Rigoletto,Tenor,Filene
2,Spirto gentil,Donizetti,Italian,La favorita,Tenor,Filene
2,Torna ai felici di,G. Puccini,Italian,Le villi,Tenor,Filene
2,Winterstürme wichen dem Wonnemond,Wagner,German,Die Walküre,Tenor,Filene
2,Quanto è bella,Donizetti,Italian,L'elisir d'amore,Tenor,Filene
2,Je crois entendre encore,Bizet,French,Les pêcheurs de perles,Tenor,Filene
2,Tuo drudo è mio rivale,Handel,Italian,Rodelinda,Tenor,Filene
1,A Word for this Old Man,Gordon,English,The Grapes of Wrath ,Tenor,Filene
1,"Act 1, Scene 8 At Night",Britten,German,The Turn of the Screw,Tenor,Filene
1,Adieu Mignon,Thomas,French,Mignon,Tenor,Filene
1,"Ah, sì ben mio",Verdi,Italian,Il trovatore,Tenor,Filene
1,"Ah! fuyez, douce image",Massenet,French,Manon,Tenor,Filene
1,Albert the Good ,Britten ,English,Albert Herring,Tenor,Filene
1,Anges du paradis,Gounod,French,Mireille,Tenor,Filene
1,Asile héréditaire,Rossini,French,Guillaume Tell,Tenor,Filene
1,Dal labbro il canto,Verdi,Italian ,Falstaff,Tenor,Filene
1,Del destino,Catàn,Spanish,Florencia en el Amazonas,Tenor,Filene
1,Dio mi potevi scagliar,Verdi,Italian,Otello,Tenor,Filene
1,È la solita storia del pastore,Cilea,Italian,L'arlesiana,Tenor,Filene
1,E lucevan le stelle,Puccini,Italian,Tosca,Tenor,Filene
1,"È un folle, è un ville affetto",Handel,Italian,Alcina,Tenor,Filene
1,Elle ne croyait pas,Thomas,French,Mignon,Tenor,Filene
1,Fantaisie aux divins mensonges,Delibes,French,Lakmé,Tenor,Filene
1,Fra l'orror di questa selva,Salieri,Italian,La cifra,Tenor,Filene
1,Frisch zum Kampfe,Mozart,German,Die Entführung aus dem Serail ,Tenor,Filene
1,Go there! ,Britten,English,Peter Grimes,Tenor,Filene
1,Grimes' Mad Scene,Britten,English,Peter Grimes,Tenor,Filene
1,In quegli anni,Mozart,Italian,Le nozze di Figaro,Tenor,Filene
1,Judge Danforth's Entrance Aria,Ward,English ,The Crucible,Tenor,Filene
